Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 46.15      0.42     0.42    20000     0.02     0.02  ants::World::findNearestFood(ants::Vector2i const&) const
 12.09      0.53     0.11  1322368     0.00     0.00  stbiw__zlib_countm
  4.40      0.57     0.04 17700100     0.00     0.00  ants::Vector2i::distance(ants::Vector2i) const
  4.40      0.61     0.04    76800     0.00     0.00  stbiw__encode_png_line
  4.40      0.65     0.04                             __memcpy_avx_unaligned_erms
  3.30      0.68     0.03  1374500     0.00     0.00  tinycolormap::Color tinycolormap::internal::CalcLerp<256ul>(double, tinycolormap::Color const (&) [256ul])
  2.20      0.70     0.02 17704973     0.00     0.00  int const& std::max<int>(int const&, int const&)
  2.20      0.72     0.02  4915200     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >::operator-(long) const
  2.20      0.74     0.02      100     0.20     1.80  stbi_write_png_to_mem
  2.20      0.76     0.02                             abs
  1.10      0.77     0.01  9830400     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >::__normal_iterator(unsigned char* const&)
  1.10      0.78     0.01  4915200     0.00     0.00  void __gnu_cxx::new_allocator<unsigned char>::construct<unsigned char, unsigned char>(unsigned char*, unsigned char&&)
  1.10      0.79     0.01  4915200     0.00     0.00  unsigned char& std::vector<unsigned char, std::allocator<unsigned char> >::emplace_back<unsigned char>(unsigned char&&)
  1.10      0.80     0.01  4915200     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::end()
  1.10      0.81     0.01  4915200     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::back()
  1.10      0.82     0.01  4915200     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::push_back(unsigned char&&)
  1.10      0.83     0.01  4123500     0.00     0.00  tinycolormap::Color::Color(double, double, double)
  1.10      0.84     0.01  2749000     0.00     0.00  tinycolormap::operator*(double, tinycolormap::Color const&)
  1.10      0.85     0.01  1374500     0.00     0.00  tinycolormap::GetInfernoColor(double)
  1.10      0.86     0.01  1374500     0.00     0.00  tinycolormap::Color::bi() const
  1.10      0.87     0.01  1374500     0.00     0.00  tinycolormap::Color::gi() const
  1.10      0.88     0.01    30254     0.00     0.00  int std::uniform_int_distribution<int>::operator()<pcg_detail::engine<unsigned long, unsigned __int128, pcg_detail::xsl_rr_mixin<unsigned long, unsigned __int128>, false, pcg_detail::no_stream<unsigned __int128>, pcg_detail::default_multiplier<unsigned __int128> > >(pcg_detail::engine<unsigned long, unsigned __int128, pcg_detail::xsl_rr_mixin<unsigned long, unsigned __int128>, false, pcg_detail::no_stream<unsigned __int128>, pcg_detail::default_multiplier<unsigned __int128> >&, std::uniform_int_distribution<int>::param_type const&)
  1.10      0.89     0.01      100     0.10     1.70  ants::World::renderWorldUncompressed() const
  1.10      0.90     0.01      100     0.10     1.20  stbi_zlib_compress
  1.10      0.91     0.01                             _int_malloc
  0.00      0.91     0.00 17725075     0.00     0.00  ants::Vector2i::Vector2i(int, int)
  0.00      0.91     0.00 14745600     0.00     0.00  unsigned char&& std::forward<unsigned char>(std::remove_reference<unsigned char>::type&)
  0.00      0.91     0.00  5498000     0.00     0.00  tinycolormap::Color::b() const
  0.00      0.91     0.00  5498000     0.00     0.00  tinycolormap::Color::g() const
  0.00      0.91     0.00  5498000     0.00     0.00  tinycolormap::Color::r() const
  0.00      0.91     0.00  5118804     0.00     0.00  stbiw__paeth
  0.00      0.91     0.00  4915200     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >::operator*() const
  0.00      0.91     0.00  4915200     0.00     0.00  void std::allocator_traits<std::allocator<unsigned char> >::construct<unsigned char, unsigned char>(std::allocator<unsigned char>&, unsigned char*, unsigned char&&)
  0.00      0.91     0.00  4915200     0.00     0.00  std::remove_reference<unsigned char&>::type&& std::move<unsigned char&>(unsigned char&)
  0.00      0.91     0.00  1374500     0.00     0.00  tinycolormap::internal::Clamp01(double)
  0.00      0.91     0.00  1374500     0.00     0.00  tinycolormap::operator+(tinycolormap::Color const&, tinycolormap::Color const&)
  0.00      0.91     0.00  1374500     0.00     0.00  tinycolormap::Color::ri() const
  0.00      0.91     0.00   474081     0.00     0.00  stbiw__zlib_flushf
  0.00      0.91     0.00   327563     0.00     0.00  stbiw__zhash
  0.00      0.91     0.00   321615     0.00     0.00  stbiw__zlib_bitrev
  0.00      0.91     0.00   133978     0.00     0.00  stbiw__sbgrowf
  0.00      0.91     0.00    70254     0.00     0.00  pcg_detail::engine<unsigned long, unsigned __int128, pcg_detail::xsl_rr_mixin<unsigned long, unsigned __int128>, false, pcg_detail::no_stream<unsigned __int128>, pcg_detail::default_multiplier<unsigned __int128> >::min()
  0.00      0.91     0.00    60508     0.00     0.00  std::uniform_int_distribution<int>::param_type::a() const
  0.00      0.91     0.00    50254     0.00     0.00  pcg_detail::xsl_rr_mixin<unsigned long, unsigned __int128>::output(unsigned __int128)
  0.00      0.91     0.00    50254     0.00     0.00  pcg_detail::default_multiplier<unsigned __int128>::multiplier()
